Date,Maximum,Minimum,Average,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
1/1/2015,39,27,33,-0.4,32,0,0,0,0
1/2/2015,42,35,38.5,5.2,26,0,0,0,0
1/3/2015,42,33,37.5,4.4,27,0,0.71,T,0
1/4/2015,56,41,48.5,15.5,16,0,0.3,0,0
1/5/2015,49,21,35,2.1,30,0,0,0,0
1/6/2015,22,19,20.5,-12.3,44,0,0.05,1,0
1/7/2015,23,9,16,-16.7,49,0,0,0,1
1/8/2015,21,8,14.5,-18.1,50,0,0,0,T
1/9/2015,33,19,26,-6.5,39,0,0.07,1.5,T
1/10/2015,23,16,19.5,-12.9,45,0,0,0,1
1/11/2015,37,18,27.5,-4.9,37,0,0,0,1
1/12/2015,39,35,37,4.7,28,0,0.36,T,T
1/13/2015,36,17,26.5,-5.8,38,0,0,0,0
1/14/2015,32,16,24,-8.3,41,0,0,0,0
1/15/2015,35,25,30,-2.3,35,0,0,0,0
1/16/2015,43,20,31.5,-0.7,33,0,0,0,0
1/17/2015,32,17,24.5,-7.7,40,0,0,0,0
1/18/2015,42,31,36.5,4.2,28,0,2.1,0,0
1/19/2015,42,36,39,6.7,26,0,0,0,0
1/20/2015,40,32,36,3.7,29,0,0,0,0
1/21/2015,36,25,30.5,-1.8,34,0,0,0,0
1/22/2015,40,31,35.5,3.1,29,0,0,0,0
1/23/2015,39,28,33.5,1.1,31,0,0,0,0
1/24/2015,39,33,36,3.5,29,0,0.72,3.6,3
1/25/2015,42,31,36.5,4,28,0,0,0,2
1/26/2015,31,22,26.5,-6.1,38,0,0.48,5.5,2
1/27/2015,30,20,25,-7.7,40,0,0.36,4.3,8
1/28/2015,34,16,25,-7.8,40,0,0,0,8
1/29/2015,36,19,27.5,-5.4,37,0,0.02,T,6
1/30/2015,38,19,28.5,-4.5,36,0,0.06,1,7
1/31/2015,26,13,19.5,-13.6,45,0,0,0,7
2/1/2015,36,20,28,-5.2,37,0,0.03,0.3,6
2/2/2015,34,14,24,-9.3,41,0,1.02,5,7
2/3/2015,26,13,19.5,-13.9,45,0,0,0,8
2/4/2015,43,24,33.5,0,31,0,0,0,8
2/5/2015,42,14,28,-5.7,37,0,0,0,8
2/6/2015,27,12,19.5,-14.3,45,0,0,0,8
2/7/2015,40,25,32.5,-1.4,32,0,0.02,T,8
2/8/2015,37,29,33,-1.1,32,0,0,0,8
2/9/2015,29,25,27,-7.2,38,0,0.09,T,8
2/10/2015,40,26,33,-1.4,32,0,0.01,0.1,8
2/11/2015,34,22,28,-6.5,37,0,0,0,8
2/12/2015,40,16,28,-6.7,37,0,T,T,8
2/13/2015,21,8,14.5,-20.4,50,0,0,0,8
2/14/2015,32,16,24,-11,41,0,0.02,0.9,8
2/15/2015,25,4,14.5,-20.7,50,0,T,T,9
2/16/2015,21,3,12,-23.4,53,0,0,0,9
2/17/2015,27,14,20.5,-15.1,44,0,0.14,3.3,12
2/18/2015,33,19,26,-9.7,39,0,T,T,9
2/19/2015,27,8,17.5,-18.4,47,0,0,0,9
2/20/2015,19,2,10.5,-25.6,54,0,0,0,9
2/21/2015,32,13,22.5,-13.8,42,0,0.61,3,9
2/22/2015,43,32,37.5,1,27,0,0.1,1,13
2/23/2015,38,8,23,-13.7,42,0,0,0,12
2/24/2015,24,4,14,-23,51,0,0,0,12
2/25/2015,37,20,28.5,-8.7,36,0,0,0,12
2/26/2015,32,21,26.5,-10.9,38,0,0,0,11
2/27/2015,30,18,24,-13.6,41,0,0,0,11
2/28/2015,29,13,21,-16.9,44,0,0,0,11
3/1/2015,31,24,27.5,-10.6,37,0,0.52,4.8,10
3/2/2015,39,27,33,-5.3,32,0,0,0,15
3/3/2015,37,22,29.5,-9.1,35,0,0.67,1.8,14
3/4/2015,45,35,40,1.2,25,0,0.25,0,13
3/5/2015,40,19,29.5,-9.6,35,0,0.76,7.5,13
3/6/2015,27,12,19.5,-19.9,45,0,0,0,19
3/7/2015,38,18,28,-11.6,37,0,0,0,18
3/8/2015,49,37,43,3.1,22,0,0,0,16
3/9/2015,54,40,47,6.8,18,0,0.01,0,13
3/10/2015,53,39,46,5.5,19,0,0.46,0,11
3/11/2015,59,44,51.5,10.8,13,0,0.01,0,6
3/12/2015,47,36,41.5,0.5,23,0,0,0,4
3/13/2015,43,31,37,-4.3,28,0,0,0,2
3/14/2015,51,40,45.5,3.9,19,0,0.81,0,1
3/15/2015,44,36,40,-2,25,0,0,0,0
3/16/2015,52,35,43.5,1.2,21,0,0,0,0
3/17/2015,57,34,45.5,2.9,19,0,0.02,0,0
3/18/2015,39,29,34,-8.9,31,0,0,0,0
3/19/2015,43,29,36,-7.2,29,0,0,0,0
3/20/2015,38,29,33.5,-10.1,31,0,0.4,4.5,0
